Num,1,2,3,4,5
Natl Anthem, 2:00 or LESS, 2:01 or MORE
Commercial, CAR, FOOD/DRINK, INSURANCE, MOVIE/TV, OTHER
First Play, RUN, PASS
First Drive, TOUCHDOWN, FIELD GOAL, PUNT, TURNOVER, SAFETY
First Scorer, NE, SEA
Halftime Leader, NE, SEA
Total Points Scored, 45 or LESS, 46 or MORE
Longest FG Att, 44 yds or LESS, 45 yds or MORE
Total Turnovers, 1 or LESS, 2 or MORE
QB Rush TD, YES, NO
QB Pass Yards, Maye, Darnold
Most Rush Yards, Stevenson, Henderson, Walker, Shaheed
JSN Recieving Yards, 0-45, 46-91, 92-139, 139 or MORE
Total Sacks, 5 or LESS, 6 or MORE
Winner, NE, SEA
